,artist_name,followers,genre,popularity,ID
152,DNCE,"{'href': None, 'total': 3076433}","['dance pop', 'pop', 'pop rock', 'post-teen pop']",70,6T5tfhQCknKG4UnH90qGnz
153,Joni Mitchell,"{'href': None, 'total': 736848}","['canadian folk', 'canadian singer-songwriter', 'folk', 'folk rock', 'lilith', 'mellow gold', 'pop rock', 'rock', 'singer-songwriter', 'traditional folk']",68,5hW4L92KnC6dX9t7tYM4Ve
154,Carnage,"{'href': None, 'total': 268178}","['edm', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",67,7CCjtD0hCK005Bvg2WG1a7
155,Berliner Philharmoniker,"{'href': None, 'total': 113325}","['classical', 'classical performance', 'orchestra']",72,6uRJnvQ3f8whVnmeoecv5Z
156,Tink,"{'href': None, 'total': 451318}","['chicago rap', 'deep pop r&b', 'drill', 'r&b', 'trap queen']",64,4v6XOdonnfpdTKTRJArG7v
157,LANCO,"{'href': None, 'total': 315236}","['contemporary country', 'country pop', 'modern country rock']",63,2lRH2dgU5Kk4Bc5phmII4T
158,Chase Atlantic,"{'href': None, 'total': 422966}","['modern rock', 'pop']",68,7cYEt1pqMgXJdq00hAwVpT
159,Conjunto Primavera,"{'href': None, 'total': 1048517}","['banda', 'cumbia', 'grupera', 'norteno', 'ranchera', 'regional mexican']",68,3nFB4eMP5gdqee2eQb8nZb
160,Ginuwine,"{'href': None, 'total': 1512246}","['dance pop', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'pop', 'r&b', 'southern hip hop', 'urban contemporary']",67,7r8RF1tN2A4CiGEplkp1oP
161,Baby Bash,"{'href': None, 'total': 507215}","['chicano rap', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'latin hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",64,12PSlydMSjEHzSCj9X5qv7
162,Kirk Franklin,"{'href': None, 'total': 735625}","['gospel', 'gospel r&b']",64,4akybxRTGHJZ1DXjLhJ1qu
163,America,"{'href': None, 'total': 853914}","['album rock', 'art rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'soft rock']",69,35U9lQaRWSQISxQAB94Meo
164,Megadeth,"{'href': None, 'total': 2621323}","['album rock', 'alternative metal', 'groove metal', 'hard rock', 'melodic thrash', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']",70,1Yox196W7bzVNZI7RBaPnf
165,Astrid S,"{'href': None, 'total': 554335}","['dance pop', 'electropop', 'norwegian pop', 'pop', 'post-teen pop', 'tropical house']",73,3AVfmawzu83sp94QW7CEGm
166,Maxo Kream,"{'href': None, 'total': 275699}","['hip hop', 'houston rap', 'melodic rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'vapor trap']",63,6xS5PpBWaVYraexEkEjjXv
167,Blue Öyster Cult,"{'href': None, 'total': 841528}","['album rock', 'art rock', 'blues rock', 'classic rock', 'hard rock', 'metal', 'psychedelic rock', 'rock', 'soft rock']",66,00tVTdpEhQQw1bqdu8RCx2
